"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005788","endoplasmic reticulum lumen",314,-0.435521346883145,-1.96049755288504,1e-10,3.5210800164979e-08,2.77511232328938e-08,7782,"tags=37%, list=21%, signal=30%","COL27A1/SELENOM/TIMP1/RCN1/FUCA2/CKAP4/CLU/IGFBP5/PDIA3/PLAUR/C3/PCSK9/ERLEC1/POGLUT2/COL4A6/ADAMTS7/KTN1/FKBP10/B2M/PPIB/P4HB/CDH2/PRSS23/PDGFA/WNT1/SERPINC1/IGFBP7/COL6A2/SERPING1/MGAT4A/TXNDC12/LTBP1/LAMC1/RCN2/VTN/CANX/CERCAM/PRKCSH/PDGFB/VCAN/APOB/APOL1/POGLUT3/COL13A1/AMBN/ARSK/ERAP1/TRDN/DNAJB11/PDGFC/GPC3/H6PD/MBTPS1/DNAJC10/SPP1/COL9A1/GAS6/TSPAN33/HYOU1/BPIFB2/ASPH/COL4A5/IL12A/PLOD3/QSOX1/PNPLA2/INS/SUMF1/HSPA5/PROZ/COL6A3/DNAJC3/PENK/PDIA6/CP/TXNDC5/CRTAP/COL11A2/TMEM43/COL5A3/SRL/APOA4/COL7A1/COL1A2/NOTUM/OS9/CALR/COL9A3/HSP90B1/MTTP/COL18A1/TSPAN5/COL14A1/P4HA3/CTSC/NUCB1/LAMB2/LGALS1/COL23A1/COL2A1/GANAB/SERPINH1/EOGT/COL8A2/SDF2L1/SPARCL1/PDIA5/P3H2/COL6A1/TMEM132A/MANF/PDIA4/CYP2W1/CSF1/COLGALT1/COL22A1/DAG1"
"GO:0005925","focal adhesion",424,-0.381453942482041,-1.77204009884752,1.18754806627248e-10,3.5210800164979e-08,2.77511232328938e-08,7933,"tags=38%, list=21%, signal=30%","PARVA/EGFR/ALOX15B/ITGA3/RRAS2/AJUBA/RPL7A/ACTN1/TRIOBP/ARF6/PDIA3/PLAUR/CD59/CTTN/MDC1/BCAR1/CLTC/MAP2K2/MME/ARPC1B/PGM5/RPLP1/ASAP3/LIMS2/RPL23/B2M/EZR/PPIB/P4HB/CDH2/XIRP1/TGM2/CSRP1/PARVG/RPL4/TWF1/AVIL/ITGAV/SPRY4/ACTB/MCAM/SNTB2/RPL13A/MSN/CSPG4/CAV3/RPS13/TLE2/PALLD/SDCBP/ATP6V0A2/PPP1CB/RPS19/CAP1/TEK/PTPN12/RPL31/RPL30/RPS15/RRAS/ITGB2/EPB41L5/TPM4/GJA1/TSPAN9/LMLN/CDH13/GAK/PDCD6IP/BSG/RHOA/FAP/RPL5/MISP/IRF2/RPLP2/RDX/TLN1/LPP/RPL3/ADAM9/CAV2/HYOU1/LIMS4/FERMT2/PLAU/RPS2/RPLP0/GSN/LIMD1/RPS3A/LAP3/RPS16/PAK4/CAV1/G3BP1/TSPAN4/LIMS1/RPL6/MMP14/HSPA5/SYNE2/FLNC/NPM1/LIMS3/CD46/KIF23/RPS8/AHNAK/FLNA/CD81/PABPC1/TGFB1I1/GNB2/CDC42EP1/YES1/SCARF2/RPL7/FBLN7/ITGB4/STX16/FAM107A/CD9/PEAK3/SHC1/RPS9/PLEC/VCL/NCSTN/PTK2B/ACTN3/CALR/LIMA1/EFS/HSP90B1/ICAM1/SORBS1/CTNNB1/ITGB8/SCARB2/ACTN4/CNN3/CD151/IQGAP1/ZNF185/CD99/ZFYVE21/MRC2/TNFSF13B/TRIP6/PARVB/ITGB5/SRP68/VIM/ARHGAP31/REXO2/DAG1/CYFIP1/CD44"
"GO:0030055","cell-substrate junction",434,-0.380191170675346,-1.76286944401767,2.84259807159897e-10,5.61886885486063e-08,4.42846857470155e-08,7933,"tags=37%, list=21%, signal=30%","PARVA/EGFR/ALOX15B/ITGA3/RRAS2/AJUBA/RPL7A/ACTN1/TRIOBP/ARF6/PDIA3/PLAUR/CD59/CTTN/MDC1/BCAR1/CLTC/MAP2K2/MME/ARPC1B/PGM5/RPLP1/ASAP3/LIMS2/RPL23/FERMT3/B2M/EZR/PPIB/P4HB/CDH2/XIRP1/TGM2/CSRP1/PARVG/RPL4/TWF1/AVIL/ITGAV/SPRY4/ACTB/MCAM/SNTB2/RPL13A/MSN/CSPG4/CAV3/RPS13/TLE2/PALLD/SDCBP/ATP6V0A2/PPP1CB/RPS19/CAP1/TEK/PTPN12/RPL31/RPL30/RPS15/RRAS/ITGB2/EPB41L5/TPM4/GJA1/TSPAN9/LMLN/CDH13/GAK/PDCD6IP/BSG/RHOA/FAP/RPL5/MISP/IRF2/RPLP2/RDX/TLN1/LPP/NRAP/RPL3/ADAM9/CAV2/HYOU1/LIMS4/FERMT2/PLAU/RPS2/RPLP0/GSN/LIMD1/RPS3A/LAP3/RPS16/PAK4/CAV1/G3BP1/TSPAN4/LIMS1/RPL6/MMP14/HSPA5/SYNE2/FLNC/NPM1/LIMS3/CD46/KIF23/RPS8/AHNAK/FLNA/CD81/PABPC1/TGFB1I1/GNB2/CDC42EP1/YES1/SCARF2/RPL7/FBLN7/ITGB4/STX16/FAM107A/CD9/PEAK3/SHC1/RPS9/PLEC/VCL/NCSTN/PTK2B/ACTN3/CALR/LIMA1/EFS/HSP90B1/ICAM1/SORBS1/CTNNB1/ITGB8/SCARB2/ACTN4/CNN3/CD151/IQGAP1/ZNF185/CD99/ERBIN/ZFYVE21/MRC2/TNFSF13B/TRIP6/PARVB/ITGB5/SRP68/VIM/ARHGAP31/REXO2/DAG1/CYFIP1/CD44"
"GO:0098687","chromosomal region",403,-0.37125227261681,-1.7178155169444,4.53867716881958e-09,6.72858890277502e-07,5.30308595514709e-07,8158,"tags=35%, list=22%, signal=28%","CLASP1/ORC2/NAT10/H2AC8/TINF2/EZH2/NUF2/DSN1/TRIOBP/CBX3/POLD1/CHMP5/THOC1/MEIKIN/AHCTF1/PRKDC/NUP107/NEK2/CENPQ/RIF1/BUB1B/TOX4/SMARCA5/SGO1/PURA/WRN/MCM5/PPP2R5C/PHF6/NSMCE4A/CDT1/MCM7/CENPV/KASH5/MTBP/MIS18A/ACTB/AURKB/NUP133/STN1/MCM6/IKZF1/RCC2/HSF1/CENPE/MACROH2A1/STAG2/SYCP3/CENPF/H4C6/H4C13/MRE11/PPP1CB/CDC73/ATF7/KMT5C/PARP1/CDC20/SPAG5/SKA1/RAD51AP1/ORC5/ALYREF/SMC5/KAT7/PHF10/SIN3A/KNL1/KIF18A/SETX/CENPB/NUDCD2/TOP2A/NUP43/DSCC1/FBXO28/INCENP/CENPN/THOC2/BIRC5/SPO11/SEH1L/CENPL/TELO2/NUP160/KIF2C/CDCA8/KAT2B/NUP98/ZBTB48/TEP1/NUP37/PLK1/HJURP/ACTL6A/HAT1/PPP2R5A/ATM/ITGB3BP/NCAPG/CSNK1A1/TNKS2/SLF2/NDC80/CDK1/PKHD1/ANAPC16/TERB1/PPP2CB/CENPW/SMCHD1/GAR1/MCM2/SKA3/MIS18BP1/RANGAP1/H4C2/RBBP7/TERT/CENPH/SUV39H1/CDCA5/ORC1/BUB1/CEBPB/POT1/RAD51/CENPA/CENPM/ESCO2/CDK2/DMC1/KNTC1/CCNB1/OIP5/CENPK/RPA1/SMC4/RASSF2/NLRP2/XRCC3/SUN1/SEPTIN2"
"GO:0022626","cytosolic ribosome",114,-0.537753427003014,-2.14686543809486,7.54388104950058e-09,7.45586910392307e-07,5.87628629118993e-07,8321,"tags=57%, list=22%, signal=45%","RPS11/RPL18/RPS20/RPL41/RPL37/RPS5/RPL13/USP10/RPS14/RPS25/RPS4X/RPS23/FAU/RPL28/DHX29/RPL7A/ZNF598/HBS1L/RPS27/RPLP1/ASCC2/RPL29/RPL23/RPS27A/RPL10L/RPL39/RPS21/RPL4/ASCC3/RPL36A/RPL13A/EIF2AK4/RPS13/RPL34/RPL32/RPS19/RPL31/RPL30/RPS15/RPS12/RACK1/RPL5/RPLP2/ETF1/RPL3/RPL27A/RPSA2/RPS2/RPL18A/RPLP0/EIF2A/RPS3A/RPS16/RPL6/RPS24/RPS8/RPL10/RPL7/RPS9/GCN1/RPS6/RPS26/LARP4/EEF1A1/RPS4Y1"
"GO:0062023","collagen-containing extracellular matrix",430,-0.362015901771723,-1.67950743336472,6.6544640203702e-09,7.45586910392307e-07,5.87628629118993e-07,4614,"tags=24%, list=12%, signal=21%","MATN4/A1BG/APOH/PDGFB/VCAN/MARCOL/LAMA5/CDH13/COL13A1/BGN/CTSS/SERPINB6/CCDC80/LTBP4/GPC3/PZP/LEFTY2/COL9A1/HTRA1/MDK/F13A1/FLG/TNXB/NPNT/TPSB2/MARCO/COL4A5/PLOD3/DLG1/CTSH/ELN/RBP3/COL6A3/ANGPT2/NAV2/CBLN4/CSTB/S100A6/AEBP1/BCAM/A2M/DPT/TGFB1I1/MMP23B/FGFR2/FIBCD1/COL11A2/COL5A3/ITGB4/ADAMTS4/APOA4/LAMA2/COL7A1/SBSPON/HDGF/AMELY/COL1A2/CCN3/LAMA1/CALR/APOC3/CTSD/COL6A6/COL9A3/HSP90B1/EFEMP2/NDP/COL18A1/ADAMTS9/ICAM1/COL14A1/EMILIN3/CTSC/LAMB2/LGALS1/COL23A1/LTBP3/LMAN1L/ITIH5/ANXA11/COL2A1/CD151/SERPINH1/SERPINB1/ERBIN/AGRN/LAMC3/COL8A2/FBLN5/CTSF/SPARCL1/COLEC12/ADAMTS8/SEMA3B/LGALS3/PSAP/P3H2/COL6A1/THSD4/NPPA/MFAP2/RARRES2/COL22A1/DAG1"
"GO:0097060","synaptic membrane",453,0.426732375412712,1.66823346480753,2.87141802374048e-08,2.432501268683e-06,1.91715729705379e-06,6969,"tags=37%, list=18%, signal=30%","ANK1/CHRNA9/GRM2/SLC4A8/SHC4/SORCS2/KCNC3/ASIC2/KCNA1/ADRA2A/HCN1/GPR158/GRIK1/NTNG2/LRRTM4/KCNJ9/GRIA2/GABRA5/KCNJ11/HTR3D/CHRM3/ZDHHC17/GRIN2A/STX1A/CRHR1/ADAM22/NRXN3/CSPG5/ABCC8/GSG1L/NRP1/DRD2/ZC4H2/GLRA1/FAIM2/GABBR2/PRKCG/GRIP1/GABRA3/PCDH8/PSENEN/SYNDIG1/ADCY8/ATP2B1/GABRE/NETO1/KCTD16/ITGA8/EPHA4/NETO2/KCNA3/RGS7BP/SLC5A7/ANK3/CACNA2D2/SLITRK3/PTPRD/GABBR1/LRFN5/DTNBP1/GRID2IP/NRXN1/CLTB/GRIA3/GLRA2/RIMS4/GRIA4/SYT1/GRID2/UNC13A/FBXO2/LHFPL4/CACNG2/SLC6A3/TRAPPC4/NRXN2/ABHD17C/NLGN3/RIMS1/MTMR2/SEMA4D/CHRNA4/HTR2A/GABRB3/ELFN1/SLC16A7/RIMS2/FLRT2/SLC1A6/ADORA1/PCDH17/MAGEE1/PPFIA2/DGKI/LRFN2/LIN7A/CLSTN2/SLITRK1/KCNB1/SNAP25/SYP/ATAD1/CHRM4/CNKSR2/CHRNB4/IQSEC3/SYT7/IL1RAPL1/CLSTN3/ADORA3/LINGO2/CNTN6/KCNA2/CHRNA2/AP2M1/SIGMAR1/LRRTM2/GRIA1/STX3/HIP1R/SLC12A5/NPTN/GRID1/CNTN1/DCC/CACNA1C/GRIPAP1/SCN2A/PCDH10/RIMS3/PICK1/GRIK2/LRRTM1/NIPSNAP1/SHISA7/SHANK1/SUSD4/LRFN1/GRIK3/SLC6A1/ADGRB3/SLC6A11/TAMALIN/SEMA4C/KCNC1/SEMA4F/RALA/CSMD2/CNR1/SNAP91/GPHN/ADAM11/CDH8/ELFN2/KCNK2/CHRNB2/DGKB/PNOC/HTR1B/CACNG7/SRGAP2/PDE2A/IGSF9/SARM1/SYNE1/SLITRK5"
"GO:0043296","apical junction complex",154,-0.454239914957749,-1.89721775234932,4.37697388033014e-07,3.24443188879472e-05,2.55707421429814e-05,7566,"tags=40%, list=20%, signal=32%","ADCYAP1R1/CLDN24/RPGRIP1L/MPDZ/CDH1/RAP2B/ILDR2/CLMP/YBX3/WNK4/KIFC3/CLDN22/FRMD6/NPHP1/FZD5/ACTB/PLEKHA7/PARD6B/TJAP1/FBF1/CLDN16/SHROOM1/TBCD/CTNND1/PDCD6IP/RHOA/EPCAM/PKN2/ESAM/CDH5/SH3BP1/YAP1/F11R/CRB2/SHROOM2/DLG1/JAM2/PALS1/ARHGAP17/CLDN19/TJP1/MICALL2/CLDN2/CCDC88C/CDK4/IGSF5/CLDN1/AJM1/VCL/RAB13/CRB3/PARD3B/ECT2/SORBS1/CTNNB1/POPDC1/PMP22/CLDN10/TJP2/C1QTNF5/WWTR1"
"GO:0005840","ribosome",241,-0.388898996738156,-1.7098635144983,8.38038379019135e-07,5.52174176398163e-05,4.35191859981867e-05,8781,"tags=42%, list=23%, signal=32%","RPL13/MRPL37/USP10/RPS14/RPS25/MRPL43/MRPL40/MRPL3/MRPL42/MRPS26/MRPL2/RPS4X/RPS23/FAU/RPL28/DHX29/EIF2AK2/MRPL10/RPL7A/ZNF598/HBS1L/FXR1/RSL24D1/RPS27/RBM3/RPLP1/ASCC2/RPL29/RPL23/RPS27A/RPL10L/MRPS6/MRPL57/RPL39/RPS21/RPL4/FUBP3/ASCC3/MRPL11/RPL36A/MRPL4/RPL13A/EIF2AK4/LINC00537/RPS13/MRPS7/RPL34/RPL32/RPS19/RPL31/RPL30/PTCD3/RPS15/RPS12/NSUN4/RACK1/RPL5/MRPS30/MRPL27/SF1/RPLP2/ETF1/RPL3/RPL27A/SERP1/RPSA2/RPS2/RPL18A/RPLP0/MRPL41/EIF2A/RPS3A/PNPT1/RPS16/RPL6/NUFIP2/DAZL/MRPL36/RPS24/MRPL14/MRPS24/RPS8/RPL10/MRPL16/RPL7/RPS9/MRPL19/MRPL39/MPV17L2/CALR/GCN1/DAP3/RPS6/NCK1/RPS26/LARP4/NR0B1/EEF1A1/SRP68/RPL22L1/RPS4Y1"
"GO:0045211","postsynaptic membrane",321,0.438135670496891,1.67778596276115,1.00146332309853e-06,5.93867750597429e-05,4.68052332058682e-05,6969,"tags=36%, list=18%, signal=30%","ANK1/CHRNA9/GRM2/SHC4/SORCS2/KCNC3/ASIC2/KCNA1/ADRA2A/HCN1/GPR158/GRIK1/LRRTM4/GRIA2/GABRA5/HTR3D/CHRM3/GRIN2A/CRHR1/ADAM22/CSPG5/GSG1L/NRP1/DRD2/ZC4H2/GLRA1/FAIM2/GABBR2/GRIP1/GABRA3/PCDH8/SYNDIG1/GABRE/NETO1/KCTD16/ITGA8/EPHA4/NETO2/KCNA3/RGS7BP/ANK3/SLITRK3/GABBR1/LRFN5/DTNBP1/GRID2IP/GRIA3/GLRA2/GRIA4/SYT1/GRID2/FBXO2/LHFPL4/CACNG2/SLC6A3/TRAPPC4/ABHD17C/NLGN3/SEMA4D/CHRNA4/HTR2A/GABRB3/ELFN1/SLC16A7/FLRT2/ADORA1/PCDH17/MAGEE1/LRFN2/LIN7A/CLSTN2/SLITRK1/KCNB1/ATAD1/CHRM4/CNKSR2/CHRNB4/IQSEC3/IL1RAPL1/CLSTN3/KCNA2/CHRNA2/SIGMAR1/LRRTM2/GRIA1/SLC12A5/GRID1/CNTN1/DCC/CACNA1C/PCDH10/GRIK2/LRRTM1/SHISA7/SHANK1/SUSD4/LRFN1/GRIK3/SLC6A1/ADGRB3/SLC6A11/TAMALIN/SEMA4C/KCNC1/SEMA4F/CSMD2/GPHN/ELFN2/KCNK2/CHRNB2/DGKB/CACNG7/SRGAP2/IGSF9/SYNE1/SLITRK5"
"GO:0022627","cytosolic small ribosomal subunit",41,-0.669111870890724,-2.22191750029218,1.41280251240436e-06,7.61628990777986e-05,6.00272072256015e-05,10198,"tags=71%, list=27%, signal=52%","RPS11/RPS20/RPS5/RPS14/RPS25/RPS4X/RPS23/FAU/DHX29/RPS27/RPS27A/RPS21/RPS13/RPS19/RPS15/RPS12/RACK1/RPSA2/RPS2/EIF2A/RPS3A/RPS16/RPS24/RPS8/RPS9/RPS6/RPS26/LARP4/RPS4Y1"
"GO:0030684","preribosome",106,-0.496099773170688,-1.95909734497395,2.22582077200083e-06,0.000109530750547523,8.63258245195705e-05,10244,"tags=53%, list=27%, signal=39%","WDR36/RPS11/EMG1/DHX37/UTP25/NIP7/PNO1/RPS5/NSA2/RPS14/HEATR1/RRP9/RPS4X/RPS23/NAT10/PPAN/RPS27/RPS19BP1/RRP36/SLX9/PRKDC/UTP20/RRP7BP/WDR43/RPS27A/WDR3/WDR75/NOP14/RRS1/TBL3/NOL10/RRP7A/DCAF13/UTP6/RPS13/RPS19/UTP18/FBL/PES1/RPS12/MAK16/UTP14A/NOL6/RRP1B/PWP2/RPS3A/NOB1/RPS16/RPS24/UTP15/NOC4L/RPS8/LOC102724159/RPS9/RPS6/KRI1"
"GO:0098984","neuron to neuron synapse",412,0.410746286458788,1.59631711531568,2.58588618493308e-06,0.000109530750547523,8.63258245195705e-05,6997,"tags=35%, list=19%, signal=29%","CALCA/SLC4A8/SORCS2/ASIC2/ADRA2A/GPR158/DMTN/GRIK1/RAPGEF4/NGFR/GRIA2/RUSC1/AKAP7/SYT9/GRIN2A/CAMK2D/CRHR1/CASP3/ADAM22/GNG3/GSG1L/PRKCG/MAPK8IP2/GRIP1/BRSK1/SYNDIG1/ZDHHC2/SH3KBP1/SH3GL3/ADCY8/SH2D5/LZTS3/NETO1/ITGA8/NEFH/SLC8A1/CPEB4/EPHA4/INSYN2A/NETO2/CPEB1/RGS7BP/CDK5/SLITRK3/PTPRD/LRFN5/CAMK2B/MPP2/DTNBP1/GRID2IP/KALRN/PSD3/GRIA3/DLGAP2/CABP1/GRIA4/SYT1/NSF/GRID2/DRP2/CACNG2/ADGRA1/TRAPPC4/SLC8A3/ARHGEF9/ABHD17C/NLGN3/MTMR2/ATP1A3/CADM1/ELFN1/SLC16A7/LZTS1/YWHAZ/DLGAP3/HOMER1/ADORA1/SOS1/PPFIA2/DGKI/CAMK1/GAP43/LRFN2/LIN7A/CLSTN2/SLITRK1/FAM81A/DROSHA/CNKSR2/SAMD14/IQSEC3/SYT7/CLSTN3/C1QL3/NCS1/ATP7A/PSD/SIGMAR1/LRRTM2/CDK5R1/GRIA1/ANKS1B/DTNB/PDYN/HIP1R/NPTN/GRID1/RTN1/ROGDI/DCC/CACNA1C/YWHAH/SLC1A1/RS1/PICK1/CALB1/PAK6/GRIK2/PLXNA4/ADD2/SHISA7/SHANK1/LRFN1/GRIK3/ADGRB3/INSYN1/TAMALIN/SEMA4C/SYN1/SEMA4F/ADGRB1/CSMD2/GPHN/MAGI2/ELFN2/KCNK2/PRICKLE1/CACNG7/SRGAP2/SYNPO/IGSF9/SLITRK5/RNF112/RTN3"
"GO:0032279","asymmetric synapse",375,0.411673903693311,1.59062714330047,2.57711310116462e-06,0.000109530750547523,8.63258245195705e-05,6997,"tags=35%, list=19%, signal=29%","SLC4A8/SORCS2/ASIC2/ADRA2A/GPR158/DMTN/GRIK1/NGFR/GRIA2/RUSC1/GRIN2A/CAMK2D/CRHR1/CASP3/ADAM22/GNG3/GSG1L/PRKCG/MAPK8IP2/GRIP1/BRSK1/SYNDIG1/ZDHHC2/SH3KBP1/SH3GL3/ADCY8/SH2D5/LZTS3/NETO1/ITGA8/NEFH/SLC8A1/CPEB4/EPHA4/INSYN2A/NETO2/CPEB1/RGS7BP/CDK5/SLITRK3/LRFN5/CAMK2B/MPP2/DTNBP1/GRID2IP/KALRN/PSD3/GRIA3/DLGAP2/CABP1/GRIA4/SYT1/NSF/GRID2/DRP2/CACNG2/ADGRA1/TRAPPC4/SLC8A3/ARHGEF9/ABHD17C/NLGN3/MTMR2/CADM1/ELFN1/SLC16A7/LZTS1/DLGAP3/HOMER1/ADORA1/SOS1/PPFIA2/DGKI/CAMK1/GAP43/LRFN2/LIN7A/CLSTN2/SLITRK1/FAM81A/DROSHA/CNKSR2/SAMD14/IQSEC3/CLSTN3/NCS1/ATP7A/PSD/SIGMAR1/LRRTM2/CDK5R1/GRIA1/ANKS1B/DTNB/HIP1R/NPTN/GRID1/RTN1/DCC/CACNA1C/YWHAH/SLC1A1/PICK1/PAK6/GRIK2/PLXNA4/ADD2/SHISA7/SHANK1/LRFN1/GRIK3/ADGRB3/INSYN1/TAMALIN/SEMA4C/SYN1/SEMA4F/ADGRB1/CSMD2/GPHN/MAGI2/ELFN2/KCNK2/PRICKLE1/CACNG7/SRGAP2/SYNPO/IGSF9/SLITRK5/RNF112/RTN3"
"GO:0032040","small-subunit processome",74,-0.545829672729175,-2.03325541000809,3.97932089105699e-06,0.000157315819226453,0.00012398726144767,10478,"tags=61%, list=28%, signal=44%","KRR1/WDR36/RPS11/EMG1/DHX37/UTP25/PNO1/RPS5/RPS14/HEATR1/RRP9/RPS4X/RPS23/NAT10/RPS27/RPS19BP1/PRKDC/UTP20/WDR43/RPS27A/WDR3/WDR75/NOP14/TBL3/NOL10/RRP7A/DCAF13/UTP6/RPS13/RPS19/UTP18/FBL/RPS12/UTP14A/NOL6/PWP2/RPS3A/RPS16/RPS24/UTP15/NOC4L/RPS8/LOC102724159/RPS9/RPS6"
"GO:0099572","postsynaptic specialization",396,0.400047322803058,1.55096089893767,7.32045886694725e-06,0.000271314506756233,0.000213834456376617,6997,"tags=34%, list=19%, signal=28%","SORCS2/ASIC2/ADRA2A/GPR158/DMTN/GRIK1/NGFR/GRIA2/RUSC1/GABRA5/GRIN2A/CAMK2D/CRHR1/CASP3/ADAM22/GNG3/GSG1L/PRKCG/MAPK8IP2/GRIP1/BRSK1/SYNDIG1/ZDHHC2/SH3KBP1/SH3GL3/ADCY8/SH2D5/LZTS3/NETO1/ITGA8/NEFH/SLC8A1/CPEB4/EPHA4/INSYN2A/NETO2/CPEB1/RGS7BP/CDK5/SLITRK3/LRFN5/CAMK2B/MPP2/DTNBP1/GRID2IP/KALRN/PSD3/GRIA3/GLRA2/DLGAP2/CABP1/GRIA4/SYT1/NSF/GRID2/DRP2/LHFPL4/CACNG2/ADGRA1/TRAPPC4/SLC8A3/ARHGEF9/ABHD17C/NLGN3/MTMR2/CADM1/GABRB3/ELFN1/SLC16A7/LZTS1/DLGAP3/HOMER1/SOS1/PPFIA2/DGKI/CAMK1/GAP43/LRFN2/LIN7A/CLSTN2/SLITRK1/KCNB1/FAM81A/DROSHA/CNKSR2/CHRNB4/SAMD14/IQSEC3/CLSTN3/NCS1/ATP7A/PSD/SIGMAR1/LRRTM2/CDK5R1/GRIA1/ANKS1B/DTNB/HIP1R/SLC12A5/NPTN/GRID1/RTN1/DCC/CACNA1C/PICK1/PAK6/GRIK2/LRRTM1/ADD2/SHISA7/SHANK1/LRFN1/GRIK3/ADGRB3/INSYN1/TAMALIN/SEMA4C/SYN1/SEMA4F/ADGRB1/CSMD2/GPHN/MAGI2/ELFN2/KCNK2/CHRNB2/PRICKLE1/CACNG7/SRGAP2/SYNPO/IGSF9/SLITRK5/RNF112/RTN3"
"GO:0070160","tight junction",134,-0.442656332393777,-1.81305641337443,7.86126373553921e-06,0.00027421937618675,0.000216123907032781,7566,"tags=36%, list=20%, signal=29%","ADCYAP1R1/CLDN24/RPGRIP1L/MPDZ/RAP2B/ILDR2/CLMP/YBX3/WNK4/CLDN22/NPHP1/FZD5/ACTB/PARD6B/TJAP1/CLDN16/GJA1/TBCD/PDCD6IP/EPCAM/ESAM/CDH5/SH3BP1/YAP1/F11R/SHROOM2/DLG1/JAM2/PALS1/ARHGAP17/CLDN19/TJP1/MICALL2/CLDN2/CDK4/IGSF5/CLDN1/RAB13/CRB3/PARD3B/ECT2/CTNNB1/POPDC1/PMP22/CLDN10/TJP2/C1QTNF5/WWTR1"
